loss,val_loss,epoch
0.003599044866859913,0.0032195302192121744,0
0.001026491867378354,0.0012285544071346521,1
0.000815802370198071,0.0025514629669487476,2
0.0008421158418059349,0.0011237252037972212,3
0.0007444549701176584,0.003376573557034135,4
0.0007220227271318436,0.0012349848402664065,5
0.0006713367183692753,0.006980782374739647,6
0.0005536418175324798,0.0007442695205099881,7
0.0006197512848302722,0.003189138602465391,8
0.0005495563382282853,0.001651231199502945,9
0.0005297277239151299,0.003308284329250455,10
0.0004907951224595308,0.002827561693266034,11
0.0004589487798511982,0.004711375571787357,12
0.00042386079439893365,0.0030108164064586163,13
0.0004983826074749231,0.007661687210202217,14
0.0004165672289673239,0.0015332642942667007,15
0.00044505149708129466,0.001012059161439538,16
0.0003862391458824277,0.0034929912071675062,17
0.00039953127270564437,0.0006904624751769006,18
0.0003704183327499777,0.002125680912286043,19
0.00034207786666229367,0.0016805740306153893,20
0.00036691862624138594,0.0011594807729125023,21
0.0003407275944482535,0.0013088502455502748,22
0.00035502813989296556,0.0007084806566126645,23
0.000378087890567258,0.0026125682052224874,24
