loss,val_loss,epoch
0.008057520724833012,0.0010010687401518226,0
0.0013337127165868878,0.0015588976675644517,1
0.0011939533287659287,0.005481654312461615,2
0.0012640671338886023,0.0032899542711675167,3
0.001084525021724403,0.0034248940646648407,4
0.001249779132194817,0.0010458908509463072,5
0.0010524684330448508,0.00201498344540596,6
0.000997477094642818,0.0058877794072031975,7
0.0011737331515178084,0.004223777912557125,8
0.0009936258429661393,0.004411589819937944,9
0.0008360359934158623,0.003973939921706915,10
0.0008560368441976607,0.0011144200107082725,11
0.0008690048125572503,0.001517798868007958,12
0.0007757632411085069,0.0012225016253069043,13
0.0008651280659250915,0.0035297824069857597,14
0.0007938980706967413,0.0018729700241237879,15
0.000814367551356554,0.00277125695720315,16
0.0007465639500878751,0.0034073691349476576,17
0.000686154467985034,0.0031465382780879736,18
0.0006403064471669495,0.0019404934719204903,19
0.0006215747562237084,0.0012047041673213243,20
0.0006423433078452945,0.0006220572395250201,21
0.0006369419861584902,0.0007239230326376855,22
0.0005628329236060381,0.0007555800839327276,23
0.0006294114282354712,0.0011190974619239569,24
