loss,val_loss,epoch
0.010511570610105991,0.004042063839733601,0
0.002280712826177478,0.005536443553864956,1
0.0018709688447415829,0.0012110179523006082,2
0.0018542732577770948,0.0063456459902226925,3
0.0017220014706254005,0.0016257530078291893,4
0.001589425140991807,0.0009727237047627568,5
0.0015704253455623984,0.0013164530973881483,6
0.001516540884040296,0.0014154140371829271,7
0.0014454447664320469,0.003705596784129739,8
0.0013854514108970761,0.001580231823027134,9
0.0013947229599580169,0.004178426694124937,10
0.0012486388441175222,0.0021668437402695417,11
0.0013202009722590446,0.002341871615499258,12
0.0010813460685312748,0.0011401551309973001,13
0.001177526661194861,0.0015721574891358614,14
0.0012863506563007832,0.0014356914907693863,15
0.001142262713983655,0.0017794526647776365,16
0.0011182633461430669,0.0017876694910228252,17
0.0010819429298862815,0.0007675254601053894,18
0.0010429592803120613,0.0014463114785030484,19
0.0010907832765951753,0.0021933235693722963,20
0.000975453294813633,0.0015778481028974056,21
0.0011238314909860492,0.0061596971936523914,22
0.001128694275394082,0.0026300386525690556,23
0.0008804821409285069,0.0015101012540981174,24
