loss,val_loss,epoch
0.013920716941356659,0.002458212897181511,0
0.003516877070069313,0.0021124742925167084,1
0.0028965994715690613,0.0022391597740352154,2
0.002754292218014598,0.004418719094246626,3
0.0025450484827160835,0.002192507963627577,4
0.0026674256660044193,0.002536918269470334,5
0.002672462724149227,0.0023804863449186087,6
0.002029918599873781,0.0016159842489287257,7
0.003723457921296358,0.004641626495867968,8
0.0020878822542726994,0.0015302551910281181,9
0.0020591027569025755,0.001283347373828292,10
0.001963145099580288,0.001611415296792984,11
0.0021272918675094843,0.001547439256682992,12
0.0019540844950824976,0.0016093108570203185,13
0.0017913547344505787,0.001175012206658721,14
0.0017456987407058477,0.0029420743230730295,15
0.0018270203145220876,0.0017978691030293703,16
0.0021890646312385798,0.0028691415209323168,17
0.0017098268726840615,0.0014348203549161553,18
0.0016542248195037246,0.0013497426407411695,19
0.0019100100034847856,0.0009360881522297859,20
0.001474203891120851,0.001871677697636187,21
0.001793645671568811,0.005425742361694574,22
0.001626417739316821,0.0012904154136776924,23
0.0017635948024690151,0.0015040304278954864,24
