loss,val_loss,epoch
0.0078030601143836975,0.0031722341664135456,0
0.0017042348627001047,0.002252936130389571,1
0.001355513697490096,0.0014987793983891606,2
0.0012457218253985047,0.0010399925522506237,3
0.0012563122436404228,0.0038849415723234415,4
0.0012683061650022864,0.0026176846586167812,5
0.0011304473737254739,0.0015040527796372771,6
0.0011025173589587212,0.0014950280310586095,7
0.0011188579956069589,0.0012290716404095292,8
0.0013430097606033087,0.0070241536013782024,9
0.0012376935919746757,0.001978267915546894,10
0.0011062270496040583,0.0024482461158186197,11
0.001092631951905787,0.004460785072296858,12
0.0009557146113365889,0.00150606210809201,13
0.0009493219549767673,0.004074867349117994,14
0.0008311261772178113,0.003060427028685808,15
0.0008103011641651392,0.0014463503612205386,16
0.0009246287518180907,0.0035792633425444365,17
0.0008241458563134074,0.0008962535066530108,18
0.0008400083752349019,0.001790614565834403,19
0.0008609484066255391,0.001066425465978682,20
0.0007785592461004853,0.00180595344863832,21
0.0008337167091667652,0.0015376309165731072,22
0.0007519130012951791,0.0013354618567973375,23
0.0006810126360505819,0.000872213626280427,24
