loss,val_loss,epoch
0.018300773575901985,0.0014488495653495193,0
0.0027901080902665854,0.0011885394342243671,1
0.0027374220080673695,0.001870061969384551,2
0.002409548033028841,0.002647196175530553,3
0.0024200757034122944,0.0010225287405773997,4
0.0023666415363550186,0.0009032028610818088,5
0.0023900195956230164,0.002174900146201253,6
0.0020810950081795454,0.0016127510461956263,7
0.0020895719062536955,0.0009822427527979016,8
0.0019451043335720897,0.0037533447612076998,9
0.0017310968833044171,0.0010800869204103947,10
0.0019435836002230644,0.0017936115618795156,11
0.0018840718548744917,0.0007819028687663376,12
0.0017424512188881636,0.0006965123466216028,13
0.0016945992829278111,0.0006539355381391943,14
0.0016123405657708645,0.0020358036272227764,15
0.001462815678678453,0.005017665680497885,16
0.0015449078055098653,0.0009616322349756956,17
0.0015754839405417442,0.0005974366795271635,18
0.0014428391586989164,0.0006091631366871297,19
0.0015141168842092156,0.0013720400165766478,20
0.001384487608447671,0.0006489211809821427,21
0.0015247650444507599,0.0010127470595762134,22
0.0013869638787582517,0.001412800862453878,23
0.0012201358331367373,0.000524254865013063,24
