loss,val_loss,epoch
0.009926332160830498,0.0014656578423455358,0
0.0014327103272080421,0.001993325538933277,1
0.0013035485753789544,0.0016679784748703241,2
0.001267833518795669,0.008091092109680176,3
0.0010198081145063043,0.0031941700726747513,4
0.00117154186591506,0.0038907574489712715,5
0.001054397551342845,0.00251599564217031,6
0.001004104851745069,0.002017141552641988,7
0.000931132584810257,0.004903198219835758,8
0.0010320523288100958,0.0018746692221611738,9
0.0008897376828826964,0.0010751801310107112,10
0.000857423641718924,0.0016881166957318783,11
0.0008497892995364964,0.002369784517213702,12
0.0008206550846807659,0.0016605713171884418,13
0.0007938682101666927,0.0025760740973055363,14
0.000737712427508086,0.002832013415172696,15
0.0007278999546542764,0.0022390885278582573,16
0.000717993127182126,0.0023036841303110123,17
0.0007802146137692034,0.0016637449152767658,18
0.0006896370905451477,0.005805021617561579,19
0.0007123841787688434,0.0019098197808489203,20
0.0006705134292133152,0.0026450983714312315,21
0.0006304052076302469,0.00250240508466959,22
0.0006233415333554149,0.0009624254889786243,23
0.0007170477765612304,0.006020070984959602,24
