loss,val_loss,epoch
0.0012708652066066861,0.002255496568977833,0
0.0002712059358600527,0.0022131435107439756,1
0.00023828854318708181,0.0017773720901459455,2
0.00022431850084103644,0.0011136187240481377,3
0.0002109409833792597,0.0013434375869110227,4
0.0001909848942887038,0.002119847107678652,5
0.00017638661665841937,0.0009514146950095892,6
0.00015802685811650008,0.0038008778356015682,7
0.00016870874969754368,0.001634364714846015,8
0.0001588581217220053,0.0013132075546309352,9
0.00015215444727800786,0.00163076666649431,10
0.00015168852405622602,0.0012658099876716733,11
0.00013190739264246076,0.0009541202452965081,12
0.00013306217442732304,0.0009127609664574265,13
0.00013063261576462537,0.005023326259106398,14
0.0001251245994353667,0.0007215464138425887,15
0.0001124245100072585,0.0007314851973205805,16
0.00010930840653600171,0.0007352816173806787,17
9.843104635365307e-05,0.0009534069104120135,18
0.00011004878615494817,0.0008991764625534415,19
0.00010353432298870757,0.0008638394647277892,20
9.011726069729775e-05,0.0007242855499498546,21
8.999037527246401e-05,0.0011853600153699517,22
9.114978456636891e-05,0.0009094119304791093,23
9.694639447843656e-05,0.0011026314459741116,24
