loss,val_loss,epoch
0.00562812015414238,0.0032886627595871687,0
0.0011116567766293883,0.002206090372055769,1
0.0010877095628529787,0.0017671538516879082,2
0.0009617962641641498,0.0020745876245200634,3
0.0010910783894360065,0.004207994788885117,4
0.0009429235360585153,0.0024237961042672396,5
0.0008499650866724551,0.00161047896835953,6
0.0010305349715054035,0.0029188983608037233,7
0.0008318342734128237,0.0010017791064456105,8
0.0007302858866751194,0.0024286729749292135,9
0.0007924065575934947,0.0013325582258403301,10
0.0007463644142262638,0.0008529330953024328,11
0.000709381012711674,0.0008450173190794885,12
0.0006713684415444732,0.0009149377583526075,13
0.0007162943365983665,0.0008735263254493475,14
0.0006097526638768613,0.002218532143160701,15
0.0007259793346747756,0.0012389966286718845,16
0.0005757351173087955,0.0011810525320470333,17
0.0005422242684289813,0.0038073731120675802,18
0.0005328813567757607,0.0006964500644244254,19
0.0005806664703413844,0.0007208686438389122,20
0.0006315505015663803,0.0007004638900980353,21
0.0005138181149959564,0.0006953115807846189,22
0.00046514891437254846,0.0013391411630436778,23
0.0004706901090685278,0.001795280142687261,24
