loss,val_loss,epoch
0.005161953624337912,0.005519718397408724,0
0.0010934589663520455,0.0011872745817527175,1
0.0008593467646278441,0.0015251137083396316,2
0.0007862690836191177,0.0011431790189817548,3
0.0007931531290523708,0.002739160554483533,4
0.0007741612498648465,0.002882511354982853,5
0.000822192698251456,0.0009464117465540767,6
0.0006733053596690297,0.0010181574616581202,7
0.0006471421220339835,0.0007639137911610305,8
0.0006960619939491153,0.002651968039572239,9
0.0006590696866624057,0.0007767834467813373,10
0.0005783463711850345,0.0026456143241375685,11
0.0005516424425877631,0.0007668962934985757,12
0.0005230737151578069,0.0012868702178820968,13
0.000562591478228569,0.0005788773996755481,14
0.0004829663666896522,0.0006128375534899533,15
0.00044251239160075784,0.0013329921057447791,16
0.0005449260934256017,0.0008235388668254018,17
0.0004635061777662486,0.0007545934058725834,18
0.0004136099014431238,0.0007400140748359263,19
0.00044312202953733504,0.0005798210622742772,20
0.00040486466605216265,0.0004637120000552386,21
0.000386211700970307,0.0006313938647508621,22
0.00039218319579958916,0.0005543016595765948,23
0.00036997595452703536,0.002599606988951564,24
